Word,ChildesFreq
tiger,1357
tights,69
time,14532
tiny,1663
tired,2325
tissue,473
to,156045
toast,1440
today,7689
toe,775
tomorrow,2355
tongue,939
tonight,1483
too,27169
tooth,591
toothbrush,340
touch,3071
towel,1063
toy,3448
tractor,1052
train,4342
trash,716
tray,468
tree,4124
tricycle,175
truck,6002
try,8765
tummy,1132
tuna,339
turkey,809
turtle,1693
tv,1969
uncle,418
under,4182
underpants,131
up,54783
us,6145
vacuum,382
vagina,27
vanilla,336
vitamins,172
vroom,742
wait,9184
wake,1139
walk,3670
walker,85
wanna,47390
want to,109
was,48927
wash,2862
watch,8487
water,10814
we,77346
were,13840
wet,2397
what,174499
when,26270
where,33042
which,6710
white,3644
who,21093
why,26999
will,13320
wind,825
window,2059
windy,163
wipe,1216
wish,998
with,54749
wolf,478
woods,288
work,5148
would,17772
write,4576
yard,496
yellow,5468
yes,30814
yesterday,2121
yogurt,1054
you,448218
your,74880
yourself,2405
yucky,893
zebra,1126
zipper,378
zoo,2104
